,time,lat,lon,PRECIP
0,1996-01-01,10.1125,38.1567,2.4
1896,1996-01-01,10.8571,37.10345,3.3
1357,1996-01-01,10.9954,36.9193,0.0
260,1996-01-01,11.2745,37.49312,0.0
799,1996-01-01,11.4337,36.846,0.0
537,1996-01-01,11.6027,37.322,0.0
3408,1996-01-01,11.68878,37.312433,0.0
1079,1996-01-01,11.8666,37.9954,0.0
1622,1996-01-01,12.52115,37.4319,0.0
3679,1996-01-02,10.1125,38.1567,0.0
5575,1996-01-02,10.8571,37.10345,0.0
5036,1996-01-02,10.9954,36.9193,0.0
3939,1996-01-02,11.2745,37.49312,0.0
4478,1996-01-02,11.4337,36.846,0.0
4216,1996-01-02,11.6027,37.322,0.0
7087,1996-01-02,11.68878,37.312433,0.0
4758,1996-01-02,11.8666,37.9954,0.0
5301,1996-01-02,12.52115,37.4319,0.0
7358,1996-01-03,10.1125,38.1567,0.0
9254,1996-01-03,10.8571,37.10345,0.0
8715,1996-01-03,10.9954,36.9193,0.0
7618,1996-01-03,11.2745,37.49312,0.0
8157,1996-01-03,11.4337,36.846,0.0
7895,1996-01-03,11.6027,37.322,0.0
10766,1996-01-03,11.68878,37.312433,0.0
8437,1996-01-03,11.8666,37.9954,0.0
8980,1996-01-03,12.52115,37.4319,0.0
11037,1996-01-04,10.1125,38.1567,0.0
12933,1996-01-04,10.8571,37.10345,0.0
12394,1996-01-04,10.9954,36.9193,0.0
11297,1996-01-04,11.2745,37.49312,0.0
11836,1996-01-04,11.4337,36.846,0.0
11574,1996-01-04,11.6027,37.322,0.0
14445,1996-01-04,11.68878,37.312433,0.0
12116,1996-01-04,11.8666,37.9954,0.0
12659,1996-01-04,12.52115,37.4319,0.0
14716,1996-01-05,10.1125,38.1567,0.0
16612,1996-01-05,10.8571,37.10345,0.0
16073,1996-01-05,10.9954,36.9193,0.0
14976,1996-01-05,11.2745,37.49312,0.0
15515,1996-01-05,11.4337,36.846,0.0
15253,1996-01-05,11.6027,37.322,0.0
18124,1996-01-05,11.68878,37.312433,0.0
15795,1996-01-05,11.8666,37.9954,0.0
16338,1996-01-05,12.52115,37.4319,0.0
18395,1996-01-06,10.1125,38.1567,0.0
20291,1996-01-06,10.8571,37.10345,0.0
19752,1996-01-06,10.9954,36.9193,0.0
18655,1996-01-06,11.2745,37.49312,0.0
19194,1996-01-06,11.4337,36.846,0.0
18932,1996-01-06,11.6027,37.322,0.0
21803,1996-01-06,11.68878,37.312433,0.0
19474,1996-01-06,11.8666,37.9954,0.0
20017,1996-01-06,12.52115,37.4319,0.0
22074,1996-01-07,10.1125,38.1567,0.0
23970,1996-01-07,10.8571,37.10345,0.0
23431,1996-01-07,10.9954,36.9193,0.0
22334,1996-01-07,11.2745,37.49312,0.0
22873,1996-01-07,11.4337,36.846,0.0
22611,1996-01-07,11.6027,37.322,0.0
25482,1996-01-07,11.68878,37.312433,0.0
23153,1996-01-07,11.8666,37.9954,0.0
23696,1996-01-07,12.52115,37.4319,0.0
25753,1996-01-08,10.1125,38.1567,0.0
27649,1996-01-08,10.8571,37.10345,0.0
27110,1996-01-08,10.9954,36.9193,0.0
26013,1996-01-08,11.2745,37.49312,0.0
26552,1996-01-08,11.4337,36.846,0.0
26290,1996-01-08,11.6027,37.322,0.0
29161,1996-01-08,11.68878,37.312433,0.0
26832,1996-01-08,11.8666,37.9954,0.5
27375,1996-01-08,12.52115,37.4319,0.0
29432,1996-01-09,10.1125,38.1567,0.0
31328,1996-01-09,10.8571,37.10345,1.7
30789,1996-01-09,10.9954,36.9193,0.0
29692,1996-01-09,11.2745,37.49312,0.0
30231,1996-01-09,11.4337,36.846,0.0
29969,1996-01-09,11.6027,37.322,0.5
32840,1996-01-09,11.68878,37.312433,0.0
30511,1996-01-09,11.8666,37.9954,0.4
31054,1996-01-09,12.52115,37.4319,0.0
33111,1996-01-10,10.1125,38.1567,0.0
35007,1996-01-10,10.8571,37.10345,2.5
34468,1996-01-10,10.9954,36.9193,0.0
33371,1996-01-10,11.2745,37.49312,6.2
33910,1996-01-10,11.4337,36.846,0.0
33648,1996-01-10,11.6027,37.322,0.0
36519,1996-01-10,11.68878,37.312433,0.0
34190,1996-01-10,11.8666,37.9954,1.5
34733,1996-01-10,12.52115,37.4319,0.0
36790,1996-01-11,10.1125,38.1567,0.0
38686,1996-01-11,10.8571,37.10345,0.0
38147,1996-01-11,10.9954,36.9193,0.0
37050,1996-01-11,11.2745,37.49312,0.0
